,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
0,Belemnite101973723,84,0.9158,15,71,97.89,93.02
1,PlanetaryNebula109394797,88,0.8152799999999999,27,130,90.41,78.26
2,Threadfin102610980,93,0.6194599999999999,15,76,84.28,66.67
3,Bumblebee102209624,98,0.7112399999999999,20,107,80.0,77.42
4,DestroyerEscort103180732,100,0.80776,18,94,85.19,87.5
5,Basin109215437,106,0.63452,16,91,87.5,75.86
6,Cirque109245515,106,0.63452,19,107,86.86,77.97
7,EmploymentAgency108354352,120,0.23568,27,152,79.33,60.47
8,Tunic104497570,120,0.66038,21,105,88.04,90.91
9,Chiton103021121,120,0.66038,28,138,88.21,90.91
10,TradingCard104465795,125,0.48513999999999996,10,60,52.97,20.51
11,Hurdle103549589,126,0.8442399999999999,33,181,84.33,75.0
12,Millipede101786646,131,0.5765,22,120,84.25,74.42
13,Urologist110741493,134,0.5002,14,85,75.6,60.0
14,FireStation103347338,138,0.8824400000000001,17,112,94.35,93.13
15,Radiologist110504206,139,0.4885,21,123,79.05,74.58
16,Field108659446,143,0.7601199999999999,12,73,78.01,67.65
17,Homeopath110182402,144,0.46556000000000003,15,95,83.56,48.1
18,Echinoderm102316707,145,0.58234,31,173,90.98,73.68
19,Polychaete101936391,148,0.6014200000000001,23,136,79.62,67.47
20,Moss111537506,149,0.5684400000000001,29,163,87.26,80.52
21,Steamboat104308807,152,0.5696,31,195,79.22,38.6
22,Cicada102256656,152,0.8048399999999999,28,158,91.32,86.67
23,Palimpsest106407514,153,0.8113999999999999,10,73,75.64,53.85
24,Autograph106407094,153,0.8113999999999999,10,73,70.45,52.78
25,Glucoside114887801,153,0.60004,21,136,70.41,72.73
26,Manuscript106407221,153,0.8113999999999999,9,66,75.54,56.76
27,Nebula109366940,155,0.7705,17,104,82.98,74.07
28,Poisoner110448568,155,0.5694600000000001,16,105,77.04,65.75
29,Dicynodont101721174,155,0.8264600000000001,16,91,83.67,72.0
30,Cynodont101720767,157,0.7988799999999999,19,113,81.29,68.09
31,Corvette103113035,159,0.66142,16,105,69.14,61.02
32,BacteriaGenus101352574,160,0.7988200000000001,20,120,84.58,80.0
33,ScaleInsect102248510,161,0.7531800000000001,35,216,92.15,80.39
34,CoccidInsect102248368,161,0.7531800000000001,34,210,89.95,78.35
35,Sketch104227144,164,0.47078000000000003,20,138,76.23,48.28
36,BusRoute108517554,165,0.40986,11,70,56.65,25.45
37,Spring115237044,167,0.36175999999999997,13,88,70.11,46.88
38,Diamond113371958,167,0.5332600000000001,14,106,66.16,77.61
39,TravelAgency108355692,170,0.40846,19,128,78.07,57.89
40,MotorScooter103791053,172,0.59634,18,119,72.13,66.0
41,Watch104555897,173,0.5011399999999999,57,360,92.64,59.26
42,Schooner104147291,174,0.48558,23,152,80.26,69.84
43,Flagellate101416585,176,0.5145799999999999,29,199,74.84,62.79
44,Sighting100880269,177,0.4876200000000001,22,153,76.56,65.85
45,Brachiopod102315487,178,0.59148,13,75,80.41,65.75
46,FungusGenus111592146,179,0.92184,30,181,89.73,93.67
47,Franchise108060193,180,0.22255999999999998,20,140,76.53,63.49
48,PhysicalTherapist110427764,180,0.5410799999999999,28,179,92.0,68.89
49,OilRefinery103844673,180,0.64604,18,125,87.2,79.37
50,SulfaDrug104352070,183,0.603,15,103,66.89,62.99
51,Prey110470460,184,0.64898,11,78,80.55,61.02
52,Brewery102897237,185,0.61902,12,77,73.41,71.88
53,Bryophyte111537327,186,0.5914200000000001,26,163,83.87,80.0
54,NonvascularOrganism113084479,186,0.5914200000000001,36,226,86.45,80.46
55,Brook109229409,188,0.77436,13,86,85.71,67.61
56,MagicTrick100099951,189,0.5870599999999999,26,181,85.11,62.22
57,Gerbil102343772,189,0.8455799999999999,26,152,95.43,83.54
58,TreasureTrove113371355,189,0.5727,24,170,87.13,56.18
59,OrthopterousInsect102226183,190,0.6097999999999999,26,175,82.84,64.52
60,Resorcinol115004715,193,0.71014,40,276,84.86,74.77
61,Sura106461830,194,0.8603,35,255,92.05,79.25
62,Titanosaur101710747,194,0.8575799999999999,13,92,81.44,80.0
63,FloorCover103366823,195,0.6309,45,314,86.82,65.91
64,Rug104118021,195,0.6309,29,202,80.99,59.52
65,Eclipse107368646,195,0.8572000000000001,10,72,84.64,94.12
66,Campaigner109889691,195,0.5027,22,149,81.69,69.33
67,Scope105125377,196,0.57636,25,183,88.72,60.22
68,WordGame100501870,197,0.23274,8,59,47.15,36.73
69,Bromide114785625,198,0.8234,16,109,86.24,78.05
70,Performance100550771,200,0.57568,14,103,76.1,46.15
71,Dinghy103199901,202,0.52366,30,209,82.45,50.94
72,Nitrobenzene114963486,202,0.6467,21,144,72.49,59.57
73,Dodger110022759,202,0.74038,26,207,85.19,72.97
74,SoundingRocket104262530,202,0.59286,16,103,81.52,69.88
75,Midwife110314836,203,0.5104599999999999,7,54,74.52,48.28
76,Loan113398953,206,0.42473999999999995,25,184,80.7,70.21
77,Bog109225943,207,0.4409000000000001,12,89,71.19,37.68
78,AdvertisingCampaign100798959,208,0.29932000000000003,13,102,58.74,20.78
79,TrueFrog101640846,208,0.7707,18,139,87.37,86.6
80,Textbook106414372,208,0.49456000000000006,32,245,88.17,50.0
81,BrassBand108249336,208,0.50474,14,110,68.31,33.68
82,Bryozoan102313709,211,0.81196,33,218,92.63,81.3
83,Seismologist110576513,213,0.70196,16,125,93.11,82.0
84,Position105079866,215,0.82886,20,149,76.47,67.55
85,Refinery104068441,215,0.64962,12,92,78.26,77.65
86,BodilyProperty104997988,215,0.82886,19,142,75.0,67.34
87,Naphthalene114958564,216,0.55702,53,362,92.15,79.12
88,FungusOrder111594676,222,0.9087000000000002,24,180,88.56,85.47
