query_id	entity_id	entity_type	genre	web_search?	wiki_text?	unknown?
EDL14_ENG_0001	E0642032	GPE	NW	N	N	N
EDL14_ENG_0002	E0689220	ORG	NW	Y	Y	N
EDL14_ENG_0003	NIL0001	PER	NW	Y	N	N
EDL14_ENG_0004	E0784459	ORG	NW	N	N	N
EDL14_ENG_0005	NIL0002	PER	NW	N	N	N
EDL14_ENG_0006	E0166808	GPE	DF	N	N	N
EDL14_ENG_0007	E0078394	ORG	DF	N	N	N
EDL14_ENG_0008	E0054469	PER	NW	Y	Y	N
EDL14_ENG_0009	NIL0003	PER	DF	N	N	Y
EDL14_ENG_0010	E0402254	PER	NW	N	N	N
EDL14_ENG_0011	E0609361	GPE	NW	N	N	N
EDL14_ENG_0012	E0305657	PER	DF	N	N	N
EDL14_ENG_0013	NIL0004	ORG	NW	N	Y	N
EDL14_ENG_0014	NIL0005	ORG	WB	Y	Y	N
EDL14_ENG_0015	NIL0006	PER	DF	N	Y	N
EDL14_ENG_0016	E0493745	PER	DF	N	N	N
EDL14_ENG_0017	E0801305	PER	DF	N	Y	N
EDL14_ENG_0018	E0273299	GPE	NW	N	N	N
EDL14_ENG_0019	E0285107	ORG	NW	N	N	N
EDL14_ENG_0020	E0370549	PER	NW	N	Y	N
EDL14_ENG_0021	NIL0007	PER	DF	N	N	Y
EDL14_ENG_0022	NIL0008	PER	NW	N	Y	N
EDL14_ENG_0023	E0208961	ORG	WB	N	Y	N
EDL14_ENG_0024	E0670955	GPE	WB	N	N	N
EDL14_ENG_0025	NIL0009	PER	WB	N	N	Y
EDL14_ENG_0026	NIL0010	ORG	WB	N	N	N
EDL14_ENG_0027	NIL0011	ORG	NW	Y	Y	N
EDL14_ENG_0028	NIL0012	PER	DF	N	N	Y
EDL14_ENG_0029	NIL0013	ORG	WB	N	Y	N
EDL14_ENG_0030	E0312888	PER	NW	N	N	N
EDL14_ENG_0031	E0440272	GPE	NW	N	N	N
EDL14_ENG_0032	NIL0014	PER	NW	N	N	N
EDL14_ENG_0033	NIL0015	PER	DF	N	N	Y
EDL14_ENG_0034	E0773898	GPE	NW	N	Y	N
EDL14_ENG_0035	NIL0016	PER	DF	Y	Y	N
EDL14_ENG_0036	NIL0017	PER	DF	N	N	Y
EDL14_ENG_0037	E0461634	ORG	WB	Y	Y	N
EDL14_ENG_0038	NIL0018	ORG	NW	Y	Y	N
EDL14_ENG_0039	E0419409	PER	DF	N	Y	N
EDL14_ENG_0040	E0412119	GPE	NW	N	Y	N
EDL14_ENG_0041	NIL0019	ORG	NW	Y	N	N
EDL14_ENG_0042	E0211468	PER	NW	N	N	N
EDL14_ENG_0043	NIL0020	PER	WB	N	N	Y
EDL14_ENG_0044	NIL0021	PER	WB	N	N	Y
EDL14_ENG_0045	NIL0022	PER	DF	Y	Y	N
EDL14_ENG_0046	NIL0023	PER	DF	N	N	Y
EDL14_ENG_0047	NIL0024	PER	DF	N	N	Y
EDL14_ENG_0048	NIL0025	ORG	NW	Y	Y	N
EDL14_ENG_0049	NIL0026	PER	DF	N	N	Y
EDL14_ENG_0050	E0795301	PER	WB	Y	N	N
EDL14_ENG_0051	E0640682	GPE	NW	N	N	N
EDL14_ENG_0052	E0397283	GPE	DF	N	N	N
EDL14_ENG_0053	E0287282	ORG	WB	N	N	N
EDL14_ENG_0054	NIL0027	ORG	NW	N	N	N
EDL14_ENG_0055	E0578237	GPE	WB	N	N	N
EDL14_ENG_0056	E0557250	PER	DF	N	N	N
EDL14_ENG_0057	NIL0028	PER	DF	N	N	Y
EDL14_ENG_0058	E0162396	PER	NW	Y	Y	N
EDL14_ENG_0059	E0679687	GPE	NW	N	N	N
EDL14_ENG_0060	E0741526	ORG	NW	N	N	N
EDL14_ENG_0061	NIL0029	PER	DF	N	N	Y
EDL14_ENG_0062	E0100183	PER	NW	N	N	N
EDL14_ENG_0063	E0761408	PER	NW	N	N	N
EDL14_ENG_0064	E0375368	PER	DF	N	N	N
EDL14_ENG_0065	NIL0030	PER	DF	N	N	Y
EDL14_ENG_0066	E0505048	GPE	WB	N	N	N
