,entity_type,n_sentence,F1_Stanford,F1_Stanford_std,N_avg,N_std,S_N
0,Belemnite101973723,84,0.9158,0.08043668317378583,0.93854,0.062187027586145374,-0.022740000000000093
1,PlanetaryNebula109394797,88,0.8152799999999999,0.04710479381124602,0.8055,0.03768649625529015,0.0097799999999999
2,Threadfin102610980,93,0.6194599999999999,0.13530249960736127,0.7657,0.12270929875115415,-0.14624000000000015
3,Bumblebee102209624,98,0.7112399999999999,0.07628416873768765,0.75964,0.05164992158754939,-0.04840000000000011
4,DestroyerEscort103180732,100,0.80776,0.07636445770121071,0.7833,0.10534655191319743,0.024460000000000037
5,Basin109215437,106,0.63452,0.06898757569301879,0.6295799999999999,0.1537694950242082,0.0049400000000000555
6,Cirque109245515,106,0.63452,0.06898757569301879,0.63618,0.13596119152169855,-0.0016599999999999948
7,Chiton103021121,120,0.66038,0.18833404790424912,0.77664,0.1252113189771596,-0.11626000000000003
8,Tunic104497570,120,0.66038,0.18833404790424912,0.7927000000000001,0.08545714715575284,-0.1323200000000001
9,EmploymentAgency108354352,120,0.23568,0.14587360830527227,0.53556,0.10251133790952102,-0.29988000000000004
10,TradingCard104465795,125,0.48513999999999996,0.14955537569743188,0.31701999999999997,0.2839169765970327,0.16812
11,Hurdle103549589,126,0.8442399999999999,0.05519944202616546,0.68364,0.09251483340524373,0.16059999999999985
12,Millipede101786646,131,0.5765,0.07259732777451249,0.57812,0.24642590285925708,-0.0016199999999999548
13,Urologist110741493,134,0.5002,0.1302653445855804,0.7050599999999999,0.09353462674325483,-0.20485999999999993
14,FireStation103347338,138,0.8824400000000001,0.014030053456776284,0.90474,0.04866980994415326,-0.022299999999999875
15,Radiologist110504206,139,0.4885,0.13639200856355185,0.76692,0.08847563280361435,-0.27842000000000006
16,Field108659446,143,0.7601199999999999,0.03919971428467305,0.6818,0.047698385716919145,0.07831999999999995
17,Homeopath110182402,144,0.46556000000000003,0.11313020109590545,0.62996,0.10993391833278753,-0.16439999999999994
18,Echinoderm102316707,145,0.58234,0.13066685272095596,0.5494000000000001,0.22505209174766627,0.03293999999999986
19,Polychaete101936391,148,0.6014200000000001,0.09866033448149264,0.6554800000000001,0.05656869805820178,-0.05406
20,Moss111537506,149,0.5684400000000001,0.044595138748522806,0.7374400000000001,0.04742179245874198,-0.16900000000000004
21,Steamboat104308807,152,0.5696,0.07847960244547622,0.43393999999999994,0.06393539238950523,0.13566000000000006
22,Cicada102256656,152,0.8048399999999999,0.08673540453586415,0.86912,0.017495302226597863,-0.06428000000000011
23,Palimpsest106407514,153,0.8113999999999999,0.09148558356375062,0.63384,0.16219735632864055,0.17755999999999994
24,Autograph106407094,153,0.8113999999999999,0.09148558356375062,0.60226,0.18668327830847625,0.20913999999999988
25,Glucoside114887801,153,0.60004,0.12529973024711585,0.63232,0.11975731125906262,-0.032279999999999975
26,Manuscript106407221,153,0.8113999999999999,0.09148558356375062,0.60312,0.18813091611960003,0.2082799999999999
27,Dicynodont101721174,155,0.8264600000000001,0.08066207535143144,0.72124,0.1034721334466435,0.10522000000000009
28,Poisoner110448568,155,0.5694600000000001,0.0787796318854055,0.6992799999999999,0.035422614245704705,-0.12981999999999982
29,Nebula109366940,155,0.7705,0.06626054633037674,0.7683399999999999,0.0650607592946778,0.0021600000000000508
30,Cynodont101720767,157,0.7988799999999999,0.04765960134117783,0.73844,0.0814671860321688,0.06043999999999994
31,Corvette103113035,159,0.66142,0.136996721128646,0.45236,0.14664712203108524,0.20906000000000002
32,BacteriaGenus101352574,160,0.7988200000000001,0.06728599854353058,0.61606,0.3126609128113075,0.18276000000000003
33,ScaleInsect102248510,161,0.7531800000000001,0.05722049982305295,0.74106,0.06701488192931476,0.01212000000000002
34,CoccidInsect102248368,161,0.7531800000000001,0.05722049982305295,0.7314200000000001,0.07868889121089458,0.02176
35,Sketch104227144,164,0.47078000000000003,0.12863406080817008,0.55488,0.09449783912873351,-0.08410000000000001
