,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
0,Belemnite101973723,0.9825,1.0,0.8234999999999999,0.9301999999999999,0.9565,0.93854,0.062187027586145374
1,PlanetaryNebula109394797,0.8332999999999999,0.7895,0.8421,0.7391,0.8234999999999999,0.8055,0.03768649625529015
2,Threadfin102610980,0.8125,0.8571,0.9143000000000001,0.65,0.5946,0.7657,0.12270929875115415
3,Bumblebee102209624,0.6957,0.8525,0.7631999999999999,0.7368000000000001,0.75,0.75964,0.05164992158754939
4,DestroyerEscort103180732,0.92,0.7692,0.7273000000000001,0.875,0.625,0.7833,0.10534655191319743
5,Basin109215437,0.84,0.4211,0.6154,0.7585999999999999,0.5128,0.6295799999999999,0.1537694950242082
6,Cirque109245515,0.8162999999999999,0.47369999999999995,0.5556,0.7797,0.5556,0.63618,0.13596119152169855
7,EmploymentAgency108354352,0.46149999999999997,0.5405,0.6809000000000001,0.6047,0.39020000000000005,0.53556,0.10251133790952102
8,Tunic104497570,0.6667000000000001,0.8301999999999999,0.7273000000000001,0.9091,0.8301999999999999,0.7927000000000001,0.08545714715575284
9,Chiton103021121,0.5489999999999999,0.84,0.7451000000000001,0.9091,0.84,0.77664,0.1252113189771596
10,TradingCard104465795,0.39020000000000005,0.8276,0.0,0.2051,0.16219999999999998,0.31701999999999997,0.2839169765970327
11,Hurdle103549589,0.5965,0.6897,0.5672,0.75,0.8148000000000001,0.68364,0.09251483340524373
12,Millipede101786646,0.0967,0.6353,0.6452,0.7442,0.7692,0.57812,0.24642590285925708
13,Urologist110741493,0.8571,0.6182,0.75,0.6,0.7,0.7050599999999999,0.09353462674325483
14,FireStation103347338,0.9473999999999999,0.9268000000000001,0.9074,0.9312999999999999,0.8108,0.90474,0.04866980994415326
15,Radiologist110504206,0.8421,0.6061,0.7931,0.7458,0.8475,0.76692,0.08847563280361435
16,Field108659446,0.6207,0.7384999999999999,0.64,0.6765000000000001,0.7333,0.6818,0.047698385716919145
17,Homeopath110182402,0.5714,0.6182,0.6667000000000001,0.48100000000000004,0.8125,0.62996,0.10993391833278753
18,Echinoderm102316707,0.1359,0.6032,0.7568,0.7368000000000001,0.5143,0.5494000000000001,0.22505209174766627
19,Polychaete101936391,0.7097,0.6889,0.6562,0.6747,0.5478999999999999,0.6554800000000001,0.05656869805820178
20,Moss111537506,0.7654000000000001,0.747,0.6739,0.8051999999999999,0.6957,0.7374400000000001,0.04742179245874198
21,Steamboat104308807,0.45,0.4583,0.5306000000000001,0.386,0.3448,0.43393999999999994,0.06393539238950523
22,Cicada102256656,0.8547,0.8506,0.8736,0.8667,0.9,0.86912,0.017495302226597863
23,Palimpsest106407514,0.6575,0.9355,0.5660000000000001,0.5385,0.4717,0.63384,0.16219735632864055
24,Autograph106407094,0.6562,0.9355,0.5,0.5278,0.3918,0.60226,0.18668327830847625
25,Glucoside114887801,0.5397,0.6970000000000001,0.44439999999999996,0.7273000000000001,0.7532,0.63232,0.11975731125906262
26,Manuscript106407221,0.6,0.9523999999999999,0.5,0.5676,0.3956,0.60312,0.18813091611960003
27,Nebula109366940,0.6866,0.7302,0.8684000000000001,0.7406999999999999,0.8158,0.7683399999999999,0.0650607592946778
28,Poisoner110448568,0.7397,0.7119,0.7302,0.6575,0.6570999999999999,0.6992799999999999,0.035422614245704705
29,Dicynodont101721174,0.8116,0.7848,0.7667,0.72,0.5231,0.72124,0.1034721334466435
30,Cynodont101720767,0.7097,0.6933,0.7082999999999999,0.6809000000000001,0.9,0.73844,0.0814671860321688
31,Corvette103113035,0.45280000000000004,0.6129,0.23809999999999998,0.6102000000000001,0.3478,0.45236,0.14664712203108524
32,BacteriaGenus101352574,0.6667000000000001,0.8,0.8136,0.8,0.0,0.61606,0.3126609128113075
33,ScaleInsect102248510,0.8162999999999999,0.6306,0.7158,0.8039000000000001,0.7387,0.74106,0.06701488192931476
34,CoccidInsect102248368,0.8431000000000001,0.62,0.6737000000000001,0.7835,0.7368000000000001,0.7314200000000001,0.07868889121089458
35,Sketch104227144,0.4375,0.5231,0.6753,0.4828,0.6557,0.55488,0.09449783912873351
36,BusRoute108517554,0.45280000000000004,0.2564,0.3214,0.2545,0.2553,0.30808,0.07674459981001922
37,Spring115237044,0.4706,0.5373,0.32789999999999997,0.46880000000000005,0.525,0.46592,0.07438449838508022
38,Diamond113371958,0.6286,0.4828,0.5478999999999999,0.7761,0.7123,0.62954,0.10632746775880636
39,TravelAgency108355692,0.5538000000000001,0.3944,0.3529,0.5789,0.5,0.476,0.08835091397376714
40,MotorScooter103791053,0.5870000000000001,0.6173,0.5686,0.66,0.7609,0.63876,0.06845636858612937
41,Watch104555897,0.4416,0.3789,0.5067,0.5926,0.359,0.45576,0.0857794054537568
42,Schooner104147291,0.6667000000000001,0.6552,0.4857,0.6984,0.45280000000000004,0.5917600000000001,0.10155917683794015
43,Flagellate101416585,0.2895,0.7,0.5789,0.6279,0.5640999999999999,0.5520799999999999,0.13960017765031676
44,Sighting100880269,0.5672,0.3824,0.6575,0.6585,0.2857,0.5102599999999999,0.15077947605692227
45,Brachiopod102315487,0.15,0.6286,0.8695999999999999,0.6575,0.8,0.6211399999999999,0.25182290285039605
46,FungusGenus111592146,0.6462,0.8767,0.8116,0.9367,0.875,0.8292400000000001,0.09970846704267397
47,Franchise108060193,0.2667,0.4,0.5067,0.6349,0.2545,0.41256000000000004,0.14471577108249123
48,PhysicalTherapist110427764,0.9067000000000001,0.8332999999999999,0.6753,0.6889,0.8451000000000001,0.78986,0.09154997760786185
49,OilRefinery103844673,0.6301,0.6207,0.8,0.7937000000000001,0.6875,0.7064,0.0773377527472838
50,SulfaDrug104352070,0.6024,0.5097999999999999,0.5428999999999999,0.6299,0.4771,0.55242,0.05671216447994206
51,Prey110470460,0.5882000000000001,0.8,0.8234999999999999,0.6102000000000001,0.6562,0.6956200000000001,0.09760947494992478
52,Brewery102897237,0.775,0.7742,0.6452,0.7188,0.5938,0.7013999999999999,0.07177152638755846
53,Bryophyte111537327,0.7143,0.7103,0.6731,0.8,0.6747,0.7144800000000001,0.04609973535715798
54,NonvascularOrganism113084479,0.7347,0.7254999999999999,0.6792,0.8046,0.6593000000000001,0.72066,0.05049841977725636
55,Brook109229409,0.8736,0.8095,0.8049,0.6761,0.7631999999999999,0.7854599999999999,0.06508396423083032
56,MagicTrick100099951,0.6742,0.7556,0.5301,0.6222,0.6598,0.6483800000000001,0.07344217861692287
57,Gerbil102343772,0.7609,0.8864,0.8276,0.8354,0.907,0.84346,0.051017314707851875
58,TreasureTrove113371355,0.6197,0.6197,0.6215999999999999,0.5618,0.6970000000000001,0.6239600000000001,0.04298970109223839
59,OrthopterousInsect102226183,0.6095,0.5739,0.6962999999999999,0.6452,0.7312000000000001,0.65122,0.05689321224891421
60,Resorcinol115004715,0.5614,0.7786,0.6197,0.7476999999999999,0.5176,0.6449999999999999,0.10223116941520329
61,Sura106461830,0.7121,0.8112,0.7937000000000001,0.7925,0.7692,0.7757400000000001,0.03450707753490582
62,Titanosaur101710747,0.7787999999999999,0.8732,0.8214,0.8,0.8244,0.8195599999999998,0.03145801010871476
63,FloorCover103366823,0.5797,0.6667000000000001,0.6731,0.6591,0.6739,0.6505,0.03579765355438819
64,Rug104118021,0.6377,0.6667000000000001,0.6526000000000001,0.5952000000000001,0.6667000000000001,0.6437800000000001,0.026553447987031745
65,Eclipse107368646,0.6415000000000001,0.7273000000000001,0.9,0.9412,0.9737,0.83674,0.12943533675159963
66,Campaigner109889691,0.6889,0.7342,0.7073,0.6933,0.6757,0.69988,0.019907023886055898
67,Scope105125377,0.5532,0.36,0.537,0.6022,0.5618,0.52284,0.08420806612195769
68,WordGame100501870,0.5,0.4857,0.31010000000000004,0.36729999999999996,0.3667,0.40596,0.07406358349418424
69,Bromide114785625,0.898,0.8462000000000001,0.75,0.7805,0.7467,0.80428,0.05893723441085441
70,Performance100550771,0.6095,0.6667000000000001,0.5962,0.46149999999999997,0.6875,0.60428,0.07912077856037568
71,Dinghy103199901,0.4138,0.5,0.5224,0.5094,0.525,0.49411999999999995,0.04116476162933535
72,Nitrobenzene114963486,0.6857,0.6457999999999999,0.6154,0.5957,0.5476,0.6180399999999999,0.046510927748218474
73,Dodger110022759,0.44439999999999996,0.8234999999999999,0.7609,0.7297,0.4746,0.64662,0.15603368097946033
74,SoundingRocket104262530,0.7115,0.5287,0.7692,0.6988,0.6353,0.6687,0.081919057611767
75,Midwife110314836,0.7857,0.7273000000000001,0.7368000000000001,0.4828,0.8421,0.71494,0.12304166123715982
76,Loan113398953,0.6234000000000001,0.3385,0.5909,0.7021,0.5657,0.5641200000000001,0.12180036781553658
77,Bog109225943,0.3529,0.5647,0.4857,0.3768,0.6591,0.48784,0.1147002284217429
78,AdvertisingCampaign100798959,0.2,0.0070999999999999995,0.449,0.2078,0.3333,0.23944000000000001,0.14782663630076956
79,TrueFrog101640846,0.7959,0.8951,0.7619,0.866,0.6459999999999999,0.79298,0.08756486510010739
80,Textbook106414372,0.4384,0.3789,0.4507,0.5,0.5556,0.46471999999999997,0.05959568440751393
81,BrassBand108249336,0.5474,0.48479999999999995,0.5526,0.3368,0.6139,0.5071,0.09444570927257628
