,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std,P,R
0,StockTrader110657835,18,1753,52868,1907,1907,0.74824,0.18304336753895237,0.9366200000000001,0.6527000000000001
1,Ma110278128,13,1239,37578,1514,1514,0.74492,0.1118555210975301,0.9237,0.6432599999999999
2,HighPriest110175248,7,636,19265,836,836,0.6029,0.07575793027795835,0.76074,0.5023799999999999
3,Meteorite109352849,4,315,6289,340,340,0.5567200000000001,0.2093781211110655,0.78628,0.45733999999999997
4,Pipe103944672,11,1079,28401,1366,1366,0.67206,0.0529950035380695,0.7898000000000001,0.58726
5,Queen110499857,14,1339,39488,1464,1464,0.64824,0.12399717093546932,0.7811999999999999,0.5600799999999999
6,Byway102930645,16,1540,42638,1687,1687,0.56818,0.07945767175043579,0.7534599999999999,0.45772
7,Clock103046257,7,648,16478,725,725,0.58578,0.11597100327236978,0.7513400000000001,0.4866599999999999
8,Prefect110465128,14,1366,38537,1465,1465,0.53788,0.03296212371798879,0.7461400000000001,0.42191999999999996
9,Terror110702483,69,6843,199345,7064,7064,0.6156400000000001,0.1248793593833665,0.9461,0.46816
10,Isotope114619658,15,1442,43222,2438,2438,0.7989599999999999,0.04541169893320439,0.8616199999999999,0.7469
11,Candidiasis114181713,6,539,9508,643,643,0.86188,0.03289367112378914,0.9296199999999999,0.80414
12,Duration115133621,9,900,23823,1075,1075,0.772,0.08403316012146632,0.86754,0.7031
13,Turbine104498523,7,636,16329,666,666,0.65042,0.20646269784152294,0.7955599999999999,0.58624
14,Constable109959142,12,1168,35677,1208,1208,0.60158,0.08331589044113973,0.8052199999999999,0.48986
15,Polymer114994328,20,1937,49623,2480,2480,0.63892,0.03249543968005359,0.85268,0.51154
16,Navy108191701,105,10417,297081,11194,11194,0.9086599999999999,0.03257340019095333,0.93376,0.88562
17,Dodger110022759,3,202,6632,221,221,0.74038,0.1299586918986183,0.9552800000000001,0.622
18,Herbicide114906850,3,277,7318,375,375,0.6434199999999999,0.09497884817157976,0.8544,0.5196
19,Bryophyte111537327,2,186,3089,236,236,0.5914200000000001,0.09910758598613932,0.73822,0.4979
20,Antidepressant102718811,6,592,14633,745,745,0.6934,0.10272783459218833,0.9063799999999999,0.5741400000000001
21,NavalWeaponry103812924,13,1269,39078,1576,1576,0.70534,0.029534359651091135,0.75402,0.66306
22,Promenade104010205,8,780,20561,817,817,0.5175799999999999,0.07751467990000344,0.7788000000000002,0.39109999999999995
23,ScaleInsect102248510,2,161,3411,248,248,0.7531800000000001,0.057220499823052946,0.79968,0.71384
24,Epidemic107435533,17,1621,46360,1675,1675,0.7493200000000001,0.12259144178938432,0.8129200000000001,0.70938
25,Criticism106710546,7,657,18428,689,689,0.5359200000000001,0.23353673287086985,0.7965000000000001,0.45036
26,Protest101177033,23,2258,64612,2426,2426,0.5832,0.12536884780518642,0.76172,0.4807
27,Feather101896031,6,531,14383,552,552,0.67876,0.24503330875617704,0.91164,0.5909
28,Premiere106893285,17,1638,53671,3111,3111,0.87292,0.033661693362039884,0.92766,0.8254999999999999
29,Lemur102496913,3,285,4148,398,398,0.9028,0.018283872675120032,0.92738,0.87964
30,Biophysicist109856267,10,914,24133,1092,1092,0.7495,0.07321188428117392,0.8978400000000001,0.6495
31,Busker109883174,71,7066,213154,8034,8034,0.84832,0.029430011892624147,0.9639800000000001,0.75862
32,DueProcess101181475,7,610,18489,618,618,0.48718000000000006,0.17045046670513986,0.82204,0.37718
33,Etymology106514621,15,1436,36013,1451,1451,0.7836799999999999,0.2675679457633145,0.93818,0.74592
34,Retailer110525436,8,731,20320,761,761,0.26132,0.09720906130603259,0.67778,0.17578
35,WebLog106402202,16,1503,44371,1626,1626,0.6157,0.16660045618184843,0.8012599999999999,0.51538
36,Shipwright110590764,6,520,13650,554,554,0.62924,0.05823622927353726,0.78722,0.5340199999999999
37,AnxietyDisorder114380473,12,1129,31511,1256,1256,0.58744,0.10539820871343118,0.79664,0.4801
38,FarmBuilding103322570,6,534,12354,632,632,0.7597800000000001,0.060984502949519924,0.84156,0.69586
39,Industry108065234,43,4217,114375,4479,4479,0.66126,0.0886581434499956,0.85728,0.54254
40,Dinghy103199901,3,202,4704,258,258,0.52366,0.10958057492092292,0.8568999999999999,0.38627999999999996
41,Brew107886572,3,230,5739,274,274,0.5607,0.12600274600182326,0.88636,0.42105999999999993
