,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std
0,StockTrader110657835,18,1753,52868,1907,1907,0.74824,0.18304336753895237
1,Ma110278128,13,1239,37578,1514,1514,0.74492,0.1118555210975301
2,HighPriest110175248,7,636,19265,836,836,0.6029,0.07575793027795835
3,Meteorite109352849,4,315,6289,340,340,0.5567200000000001,0.2093781211110655
4,Pipe103944672,11,1079,28401,1366,1366,0.67206,0.0529950035380695
5,Queen110499857,14,1339,39488,1464,1464,0.64824,0.12399717093546932
6,Byway102930645,16,1540,42638,1687,1687,0.56818,0.07945767175043579
7,Clock103046257,7,648,16478,725,725,0.58578,0.11597100327236978
8,Prefect110465128,14,1366,38537,1465,1465,0.53788,0.03296212371798879
9,Terror110702483,69,6843,199345,7064,7064,0.6156400000000001,0.1248793593833665
10,Isotope114619658,15,1442,43222,2438,2438,0.7989599999999999,0.04541169893320439
11,Candidiasis114181713,6,539,9508,643,643,0.86188,0.03289367112378914
12,Duration115133621,9,900,23823,1075,1075,0.772,0.08403316012146632
13,Turbine104498523,7,636,16329,666,666,0.65042,0.20646269784152294
14,Constable109959142,12,1168,35677,1208,1208,0.60158,0.08331589044113973
15,Polymer114994328,20,1937,49623,2480,2480,0.63892,0.03249543968005359
16,Navy108191701,105,10417,297081,11194,11194,0.9086599999999999,0.03257340019095333
17,Dodger110022759,3,202,6632,221,221,0.74038,0.1299586918986183
18,Herbicide114906850,3,277,7318,375,375,0.6434199999999999,0.09497884817157976
19,Bryophyte111537327,2,186,3089,236,236,0.5914200000000001,0.09910758598613932
20,Antidepressant102718811,6,592,14633,745,745,0.6934,0.10272783459218833
21,NavalWeaponry103812924,13,1269,39078,1576,1576,0.70534,0.029534359651091135
22,Promenade104010205,8,780,20561,817,817,0.5175799999999999,0.07751467990000344
23,ScaleInsect102248510,2,161,3411,248,248,0.7531800000000001,0.057220499823052946
24,Epidemic107435533,17,1621,46360,1675,1675,0.7493200000000001,0.12259144178938432
25,Criticism106710546,7,657,18428,689,689,0.5359200000000001,0.23353673287086985
26,Protest101177033,23,2258,64612,2426,2426,0.5832,0.12536884780518642
27,Feather101896031,6,531,14383,552,552,0.67876,0.24503330875617704
28,Premiere106893285,17,1638,53671,3111,3111,0.87292,0.033661693362039884
29,Lemur102496913,3,285,4148,398,398,0.9028,0.018283872675120032
