Bearers	O
mostly	O
resisded	O
in	O
the	O
regions	O
Kraków	B-NationalCapital108691669
,	O
Poznań	B-NationalCapital108691669
and	O
Sandomierz	O
of	O
Poland	O
,	O
Wolyn	O
and	O
Podolia	O
of	O
Ukraine	O
.	O
It	O
was	O
first	O
mentioned	O
in	O
a	O
court	O
registry	O
of	O
1392	O
and	O
spread	O
across	O
the	O
families	O
of	O
Greater	O
Poland	O
and	O
the	O
lands	O
of	O
Kraków	B-NationalCapital108691669
,	O
Lublin	O
,	O
Sandomierz	O
and	O
Sieradz	O
.	O
In	O
1094	O
A.D.	O
,	O
Sieciech	O
was	O
Voivode	O
of	O
Kraków	B-NationalCapital108691669
.	O
Wincenty	O
Kadłubek	O
,	O
Bishop	O
of	O
Kraków	B-NationalCapital108691669
and	O
chronicler	O
Coach	O
of	O
figure	O
skating	O
at	O
Club	O
of	O
figure	O
skating	O
“	O
Lajkonik	O
”	O
in	O
Krakow	B-NationalCapital108691669
.	O
In	O
1852	O
he	O
embarked	O
on	O
a	O
journey	O
to	O
Kraków	B-NationalCapital108691669
(	O
then	O
in	O
the	O
Austrian	O
Partition	O
)	O
to	O
attend	O
classes	O
at	O
the	O
Jan	O
Matejko	O
Academy	O
of	O
Fine	O
Arts	O
.	O
Wincenty	O
of	O
Kielce	O
(	O
c.	O
1200	O
–	O
after	O
1262	O
)	O
was	O
a	O
Polish	O
canon	O
in	O
Cracow	B-NationalCapital108691669
,	O
a	O
poet	O
writing	O
in	O
Latin	O
,	O
composer	O
,	O
member	O
of	O
the	O
Dominican	O
Order	O
.	O
Bartłomiej	O
Chwalibogowski	O
(	O
born	O
August	O
7	O
,	O
1982	O
in	O
Kraków	B-NationalCapital108691669
)	O
is	O
a	O
Polish	O
footballer	O
(	O
left	O
winger	O
)	O
playing	O
currently	O
for	O
GKS	O
Katowice	O
.	O
Several	O
different	O
grzywnas	O
developed	O
with	O
their	O
own	O
system	O
of	O
weight	O
and	O
exchange	O
,	O
such	O
as	O
the	O
Kulm	O
grzywna	O
and	O
the	O
Krakow	B-NationalCapital108691669
grzywna	O
.	O
Kraków	O
Metropolitan	O
Area	O
(	O
pl	O
.	O
"	O
Krakowski	O
Obszar	O
Metropolitalny	O
"	O
)	O
is	O
a	O
peculiar	O
functional	O
region	O
including	O
a	O
big	O
city	O
-	O
Kraków	B-NationalCapital108691669
and	O
neighbouring	O
complex	O
of	O
settling	O
units	O
,	O
connected	O
with	O
the	O
metropolis	O
by	O
different	O
interactive	O
relations	O
.	O
Area	O
including	O
the	O
city	O
of	O
Kraków	B-NationalCapital108691669
and	O
neighbouring	O
powiats	O
.	O
Kraków	B-NationalCapital108691669
–	O
largest	O
city	O
She	O
is	O
commemorated	O
by	O
the	O
Blessed	O
Bronisława	O
Chapel	O
in	O
Kraków	B-NationalCapital108691669
.	O
Janina	O
Horwitz	O
died	O
on	O
27	O
December	O
1960	O
and	O
was	O
buried	O
at	O
the	O
Rakowicki	O
Cemetery	O
in	O
Kraków	B-NationalCapital108691669
.	O
The	O
autographs	O
,	O
all	O
held	O
by	O
the	O
Jagiellonian	O
Library	O
,	O
Kraków	B-NationalCapital108691669
,	O
are	O
dated	O
by	O
his	O
father	O
as	O
having	O
been	O
completed	O
in	O
April	O
(	O
K.	O
37	O
)	O
and	O
July	O
(	O
K.	O
39–41	O
)	O
of	O
